UT,TI,AU,AF,SO,PY,AB,DE,ID,CR,DI,C1,RP,TC,Z9,AR,BP,EA,EI,EP,IS,OI,PD,PM,PN,PT,RI,SI,SN,SU,VL,VR,include,reason_code,reason_detail,screener,screen_date,stage
WOS:001626857700048,GAN-CMA: Causal Mediation Analysis Based on Generative Adversarial,"Zhang, HY","Zhang, Haiyue",IEEE ACCESS,2025,,,,,10.1109/ACCESS.2025.3633643,,,,,,197109,,,197123,,"Li, Qi/0000-0002-0162-8487; Gao, Mingyu/0009-0006-8831-5577; Shang,",,,,J,"Li, Qi/IAR-3104-2023",,2169-3536,,13.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001359508300001,Progressive Conditional Generative Adversarial Network Optimized with,"Geng, DM","Geng, Dianmei",INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,2024,,,,,10.1007/s44196-024-00681-8,,,,,284,,,1875-6883,,1,,NOV 20,,,J,,,1875-6891,,17.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001653321600004,Named Experts in Fine Art Auction Text from the Getty Provenance Index,"Henrickson, M","Henrickson, Mathew",JOURNAL OF OPEN HUMANITIES DATA,2025,,,,,10.5334/johd.415,,,,,81,,,2059-481X,,,"Henrickson, Mathew/0009-0001-3571-7728",,,,J,,,,,11.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001455103800001,How Can (A)I Research This? An Autoethnographic Exploration of,"Panke, S","Panke, Stefanie",JOURNAL OF TEACHER EDUCATION,2025,,,,,10.1177/00224871251325065,,,,,,230,MAR 2025,1552-7816,244,3,"Panke, Stefanie/0000-0003-4113-9730",MAY,,,J,"Panke, Stefanie/AAE-7242-2019",,0022-4871,,76.0,,True,,,董恒清,2026-05-25,initial
WOS:000943994400001,Improving text mining in plant health domain with GAN and/or pre-trained,"Jiang, SF","Jiang, Shufan",FRONTIERS IN ARTIFICIAL INTELLIGENCE,2023,,,,,10.3389/frai.2023.1072329,,,,,1072329,,,2624-8212,,,"JIANG, Shufan/0000-0002-8486-3158",FEB 21,36895200.0,,J,"cormier, stephane/V-6941-2017",,,,6.0,,True,,,董恒清,2026-05-25,initial
WOS:001522367100001,Text mining in MOF research: from manual curation to large language,"Bae, S","Bae, Suyeon",CHEMICAL COMMUNICATIONS,2025,,,,,10.1039/d5cc02511g,,,,,,11083,JUL 2025,1364-548X,11094,60,"Jeon, Mingyu/0000-0002-8285-5197;",JUL 22,40613389.0,,J,"Jeon, Mingyu/NCV-2870-2025; Moon, Hoi/E-5892-2010",,1359-7345,,61.0,,True,,,董恒清,2026-05-25,initial
WOS:001516016200001,Combining Lexicon Definitions and the Retrieval-Augmented Generation of,"Li, JB","Li, Jiabin",MATHEMATICS,2025,,,,,10.3390/math13122023,,,,,2023,,,2227-7390,,12,,JUN 19,,,J,"feng, minxuan/KVZ-2744-2024",,,,13.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001356688800007,The Problems of LLM-generated Data in Social Science Research,"Rossi, L","Rossi, Luca",SOCIOLOGICA-INTERNATIONAL JOURNAL FOR SOCIOLOGICAL DEBATE,2024,,,,,10.6092/issn.1971-8853/19576,,,,,,145,,1971-8853,168,2,"Shklovski, Irina/0000-0003-1874-0958",,,,J,,,,,18.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001210238400001,Uncertainty in Visual Generative AI,"Combs, K","Combs, Kara",ALGORITHMS,2024,,,,,10.3390/a17040136,,,,,136,,,1999-4893,,4,"Combs, Kara/0000-0002-6313-8563;",APR,,,J,"Combs, Kara/AED-9815-2022; Bihl, Trevor/AGG-9605-2022",,,,17.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001494677700001,Leveraging Internet-Sourced Text Data for Financial Analytics in Supply,"Wang, JX","Wang, Jiaxing",IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,2025,,,,,10.1109/TEM.2025.3567302,,,,,,1924,,1558-0040,1938,,"Cheng, Yang/0000-0002-3082-4890; Liu, Guoquan George/0000-0002-3397-4456",,,,J,,,0018-9391,,72.0,,True,,,董恒清,2026-05-25,initial
WOS:001603377600001,ChatGPT for cultural heritage and the customization of generative AI: A,"Natale, S","Natale, Simone",NEW MEDIA & SOCIETY,2025,,,,,10.1177/14614448251384258,,,,,,,OCT 2025,1461-7315,,,"Natale, Simone/0000-0003-1962-2398",2025 OCT 29,,,J,"Befera, Luca/JVD-8053-2023",,1461-4448,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001625045000001,Assessment of large language models' performance in simulating students',"Du, JL","Du, Junlei",EDUCATION AND INFORMATION TECHNOLOGIES,2026,,,,,10.1007/s10639-025-13842-9,,,,,,787,NOV 2025,1573-7608,822,3,"Du, Junlei/0000-0002-2881-5223; Chen, Jingxi/0009-0009-4318-8844;",FEB,,,J,"Du, Junlei/KPA-3413-2024; Chen, Jingxi/OCL-1619-2025",,1360-2357,,31.0,,True,,,董恒清,2026-05-25,initial
WOS:001476893200023,Integrating technology in social science research: emerging trends and,"Romaniuk, MW","Romaniuk, Milosz W.",INTERNATIONAL JOURNAL OF ELECTRONICS AND TELECOMMUNICATIONS,2025,,,,,10.24425/ijet.2025.153559,,,,,,171,,2300-1933,179,1,"Romaniuk, Miłosz/0000-0002-1009-8940",,,,J,"Gierzyński, Jan/PFJ-0141-2025",,2081-8491,,71.0,,True,,,董恒清,2026-05-25,initial
WOS:001638544400001,Exploring PhD students' utilization of generative AI in academic writing,"Wu, CZ","Wu, Chenze",JOURNAL OF ENGLISH FOR ACADEMIC PURPOSES,2026,,,,,10.1016/j.jeap.2025.101612,,,,,101612,,DEC 2025,1878-1497,,,"Wan, Yuwei/0000-0002-6377-7904; Wu, Chenze/0009-0007-1290-513X;",JAN,,,J,"Wan, Yuwei/LCD-5710-2024; Wu, Chenze/OIS-3059-2025; Moorhouse, Benjamin",,1475-1585,,79.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001541766400001,Detecting the knowledge structure of generative artificial intelligence,"Cheng, X","Cheng, Xian",JOURNAL OF INFORMATION SCIENCE,2025,,,,,10.1177/01655515251353188,,,,,,,AUG 2025,1741-6485,,,,2025 AUG 2,,,J,,,0165-5515,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001334882100002,"Digital twin-based cyber-physical manufacturing systems, extended","Lazaroiu, G","Lazaroiu, George",OECONOMIA COPERNICANA,2024,,,,,10.24136/oc.3183,,,,,,837,,2353-1827,870,3,"Musa, Hussam/0000-0002-4492-8770; Zvarikova,",SEP,,,J,"Musa, Hussam/C-9944-2019; Zvarikova, Katarina/P-2328-2015; Nagy,",,2083-1277,,15.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001215459400001,Evaluating human resources management literacy: A performance analysis,"Raman, R","Raman, Raghu",HELIYON,2024,,,,,10.1016/j.heliyon.2024.e27026,,,,,e27026,,MAR 2024,2405-8440,,5,"Venugopalan, Murale/0000-0002-3851-845X; Raman,",MAR 15,38486738.0,,J,"Venugopalan, Murale/AAF-3423-2021; Raman, Raghu/AAL-9550-2020",,,,10.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001464354200003,A Position Paper on AI and Copyrights in Cultural Heritage and Research,"Lehmann, J","Lehmann, Jorg",JOURNAL OF OPEN HUMANITIES DATA,2025,,,,,10.5334/johd.290,,,,,25,,,2059-481X,,,"Lehmann, Jörg/0000-0003-1334-9693; Sichani,",,,,J,,,,,11.0,,True,,,董恒清,2026-05-25,initial
WOS:001591552600004,Trends of generative AI applications in educational settings,"Tu, YF","Tu, Yun-Fang",INTERNATIONAL JOURNAL OF MOBILE LEARNING AND ORGANISATION,2025,,,,,10.1504/IJMLO.2025.149024,,,,,,,,1746-7268,,4,,,,,J,"Tu, Yun-Fang/M-5441-2018",,1746-725X,,19.0,,True,,,董恒清,2026-05-25,initial
WOS:001592845400001,Decolonizing Archival Narratives: Exploring Digital Bias in the Catalogs,"Bloch, A","Bloch, Agata",JOURNAL OF AFRICAN HISTORY,2025,,,,,10.1017/S0021853725100601,,,,,e19,,,1469-5138,,,"Santana, Clodomir/0000-0001-7869-7184; Martos O,",OCT 14,,,J,"Santana, Clodomir/B-3380-2019; Błoch, Agata/JZC-8880-2024",,0021-8537,,66.0,,True,,,董恒清,2026-05-25,initial
WOS:001550110700001,Students' attitudes and sentiments toward AI-generated images: deep,"Zhang, LY","Zhang, Longyu",INTERACTIVE LEARNING ENVIRONMENTS,2025,,,,,10.1080/10494820.2025.2545964,,,,,,,AUG 2025,1744-5191,,,"Wang, Stephen/0000-0001-9835-9932; Fang, Cong/0000-0002-3821-0084;",2025 AUG 15,,,J,"Wang, Stephen/A-6494-2016; Fang, Cong/HSH-2301-2023; Zhang,",,1049-4820,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001548069400008,Working With AI to Persuade: Examining a Large Language Model's Ability,"Karinshak, E","Karinshak, Elise",PROCEEDINGS OF THE ACM ON HUMAN COMPUTER INTERACTION,2023,,,,,10.1145/3579592,,,,,116,,,2573-0142,,CSCW1,"Liu, Xun ""Sunny""/0000-0001-8910-9384; Karinshak,",APR,,,J,,,,CCW1,7.0,,True,,,董恒清,2026-05-25,initial
WOS:001601930000001,Beyond Photorealism: An AIGC-Powered Framework for Stylized and Gamified,"Li, CL","Li, Chunlei",BUILDINGS,2025,,,,,10.3390/buildings15203782,,,,,3782,,,2075-5309,,20,"Shao, Jianghuai/0009-0007-4536-3875",OCT 20,,,J,,,,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001565385800001,GLMTopic: A Hybrid Chinese Topic Model Leveraging Large Language Models,"Chen, WS","Chen, Weisi",CMC-COMPUTERS MATERIALS & CONTINUA,2025,,,,,10.32604/cmc.2025.065916,,,,,,1559,,1546-2226,1583,1,"Hussain, Walayat/0000-0003-0610-4006;",,,,J,"Hussain, Walayat/AIE-3650-2022; Chen, Junjie/HZK-5146-2023; Chen,",,1546-2218,,85.0,,True,,,董恒清,2026-05-25,initial
WOS:001338083600001,PrecisionGAN: enhanced image-to-image translation for preserving,"Ahmed, M","Ahmed, Maaz",INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION,2025,,,,,10.1007/s10032-024-00505-7,,,,,,239,OCT 2024,1433-2825,253,2,,JUN,,,J,"Ahmed, Maaz/LXW-8501-2024",,1433-2833,,28.0,,True,,,董恒清,2026-05-25,initial
WOS:001518680500001,Large language models and the problem of rhetorical debt,"Macarthur, M","Macarthur, Marit",AI & SOCIETY,2025,,,,,10.1007/s00146-025-02403-w,,,,,,6425,JUN 2025,1435-5655,6438,8,,DEC,,,J,,,0951-5666,,40.0,,True,,,董恒清,2026-05-25,initial
WOS:001352472900001,Protein-Protein Interaction Networks Derived from Classical and Machine,"Degnan, DJ","Degnan, David J.",JOURNAL OF PROTEOME RESEARCH,2024,,,,,10.1021/acs.jproteome.4c00535,,,,,,5395,NOV 2024,1535-3907,5404,12,"Degnan, David/0000-0001-5737-7173; Obiri, Moses/0009-0009-5598-9892; ,",NOV 11,39526844.0,,J,"Degnan, David/LPQ-4622-2024; Bramer, Lisa/L-9184-2016",,1535-3893,,23.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001670299300001,"Generative AI in Art Education: A Systematic Review of Research Trends,","Jiang, YH","Jiang, Yihan",EDUCATION SCIENCES,2025,,,,,10.3390/educsci16010047,,,,,47,,,2227-7102,,1,,DEC 30,,,J,,,,,16.0,,True,,,董恒清,2026-05-25,initial
WOS:001441749000001,Evaluating tenant-landlord tensions using generative AI on online tenant,"Chen, X","Chen, Xin",JOURNAL OF COMPUTATIONAL SOCIAL SCIENCE,2025,,,,,10.1007/s42001-025-00378-8,,,,,50,,,2432-2725,,2,"Ren, Cheng/0000-0001-8717-1977; Chen, Xin/0009-0004-8781-3916",MAR 11,,,J,"Ren, Cheng/AGJ-7951-2022; Thomas, Timothy/OFN-8852-2025",,2432-2717,,8.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001580348800001,Stitching History into Semantics: LLM-Supported Knowledge Graph,"Doumanas, D","Doumanas, Dimitrios",MACHINE LEARNING AND KNOWLEDGE EXTRACTION,2025,,,,,10.3390/make7030059,,,,,59,,,2504-4990,,3,,JUN 24,,,J,"Kotis, Konstantinos/B-1883-2009; Doumanas, Dimitrios/NRA-9697-2025;",,,,7.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001603272100001,Shift or Shimmer? The Promises of Generative AI for Automated Content,"Ganassali, S","Ganassali, Stephane",INTERNATIONAL JOURNAL OF MARKET RESEARCH,2026,,,,,10.1177/14707853251388604,,,,,,82,OCT 2025,2515-2173,107,1,"Ganassali, Stephane/0000-0001-9473-7457",JAN,,,J,,,1470-7853,,68.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001571485600008,LLM-Based Generative AI in Medicine: Analysis of Current Research Trends,"Kilinc, M","Kilinc, Murat",IEEE ACCESS,2025,,,,,10.1109/ACCESS.2025.3606335,,,,,,157026,,,157043,,"Kılınç, Murat/0000-0003-4092-5967; Gurcan, Fatih/0000-0001-9915-6686;",,,,J,"Kılınç, Murat/LRU-0906-2024; Gurcan, Fatih/AAJ-7503-2021; Soylu,",,2169-3536,,13.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001549326000005,"""I Recall the Past"": Exploring How People Collaborate with Generative AI","He, ZT","He, Zhiting",PROCEEDINGS OF THE ACM ON HUMAN COMPUTER INTERACTION,2025,,,,,10.1145/3711006,,,,,CSCW108,,,2573-0142,,2,"LC, RAY/0000-0001-7310-8790; Jia, Ju/0000-0003-1228-3274; , Chen",APR,,,J,,,,,9.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001321613300001,Generative AI and College Students: Use and Perceptions,"Golding, JM","Golding, Jonathan M.",TEACHING OF PSYCHOLOGY,2025,,,,,10.1177/00986283241280350,,,,,,369,SEP 2024,1532-8023,380,3,"Burke, Kelly/0000-0001-5584-3740; Golding, Jonathan/0000-0003-1126-1882;",JUL,,,J,"Burke, Kelly/JRW-1979-2023; Salomon, Ilyssa/AEO-7562-2022",SI,0098-6283,,52.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001286480100001,Exploring the generative AI adoption in service industry: A mixed-method,"Gupta, R","Gupta, Rohit",JOURNAL OF RETAILING AND CONSUMER SERVICES,2024,,,,,10.1016/j.jretconser.2024.103997,,,,,103997,,AUG 2024,1873-1384,,,,NOV,,,J,,,0969-6989,,81.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:000828016900004,Multi-document summarization for patent documents based on generative,"Kim, S","Kim, Sunhye",EXPERT SYSTEMS WITH APPLICATIONS,2022,,,,,10.1016/j.eswa.2022.117983,,,,,117983,,JUL 2022,1873-6793,,,"Kim, Sunhye/0000-0001-9011-0550; Yoon, Byungun/0000-0002-1110-4011",NOV 30,,,J,"; Kim, Sunhye/MVV-7668-2025; Yoon, Byungun/AAC-6608-2020",,0957-4174,,207.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001461613500001,Generative artificial intelligence in pedagogical practices: a,"Wang, XY","Wang, Xiaoyu",COGENT EDUCATION,2025,,,,,10.1080/2331186X.2025.2485499,,,,,2485499,,,,,1,"Xiaoyu, Wang/0000-0003-0272-3678; Zainuddin, Zamzami/0000-0002-4851-4102",DEC 31,,,J,"Xiaoyu, Wang/JTT-7234-2023; Zainuddin, Zamzami/F-1625-2018",,2331-186X,,12.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001588418500014,Assessing a Literary RAG System with a Human-Evaluated Synthetic QA,"Torterolo-Orta, YA","Torterolo-Orta, Yanco Amor",PROCESAMIENTO DEL LENGUAJE NATURAL,2025,,,,,10.26342/2025-75-14,,,,,,185,,1989-7553,198,75,"Moreno-Sandoval, Antonio/0000-0002-9029-2216",SEP,,,J,"Moreno-Sandoval, Antonio/B-5429-2010",,1135-5948,,,,True,,,董恒清,2026-05-25,initial
WOS:001473002600011,Utilizing Generative Artificial Intelligence for Sociological Studies,"Drach, VE","Drach, Vladimir E.",SOCIOLOGIA NAUKI I TEHNOLOGIJ-SOCIOLOGY OF SCIENCE & TECHNOLOGY,2024,,,,,10.24412/2079-0910-2024-4-163-177,,,,,,163,,2414-9225,177,4,"Драч, Владимир/0009-0009-6280-3160",,,,J,,,2079-0910,,15.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001376202800001,Digital Technology in Cultural Heritage: Construction and Evaluation,"Chen, DY","Chen, Dayang",APPLIED SCIENCES-BASEL,2024,,,,,10.3390/app142310811,,,,,10811,,,2076-3417,,23,"Chen, DaYang/0000-0003-3723-9069; Zou, Changman/0009-0001-2056-8299;",DEC,,,J,"; Jeon, Wangsu/AAX-8551-2020",,,,14.0,,True,,,董恒清,2026-05-25,initial
WOS:001007354200001,Deterioration of pre-war and rehabilitation of post-war urbanscapes,"Çiçek, S","Cicek, Selen",INTERNATIONAL JOURNAL OF ARCHITECTURAL COMPUTING,2023,,,,,10.1177/14780771231181237,,,,,,695,JUN 2023,2048-3988,711,4,"Taşer, Aybüke/0000-0002-0335-2904; Çiçek, Selen/0000-0003-2489-2536;",DEC,,,J,"Taşer, Aybüke/HGB-1084-2022; Çiçek, Selen/ACR-2487-2022; TURHAN, GOZDE",,1478-0771,,21.0,,True,,,董恒清,2026-05-25,initial
WOS:001580045600001,"Digital Archaeology Underwater: Ethical, Epistemic, and Climate","Demilio, C","Demilio, Caio",HERITAGE,2025,,,,,10.3390/heritage8090383,,,,,383,,,,,9,"Castro, Filipe/0000-0002-3021-2720",SEP 16,,,J,,,2571-9408,,8.0,,True,,,董恒清,2026-05-25,initial
WOS:001531077000001,Artificial insights or historical fidelity? Crafting an ethical,"Ocón, D","Ocon, David",AI & SOCIETY,2026,,,,,10.1007/s00146-025-02454-z,,,,,,121,JUL 2025,1435-5655,134,1,,JAN,,,J,"Ocón, David/AAH-7201-2021",,0951-5666,,41.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001305600600001,A Comprehensive Analysis of the per- and poly-fluoroalkyl substances,"Kobayashi, Y","Kobayashi, Yoshiyuki",JOURNAL OF HAZARDOUS MATERIALS LETTERS,2024,,,,,10.1016/j.hazl.2024.100121,,,,,100121,,AUG 2024,,,,"Uchida, Takumi/0000-0003-4686-638X;",NOV,,,J,"Kobayashi, Yoshiyuki/AAO-7302-2020; Inoue, Takahiro/M-4754-2018",,2666-9110,,5.0,,True,,,董恒清,2026-05-25,initial
WOS:000513211500003,Cantonese porcelain classification and image synthesis by ensemble,"Chen, SSC","Chen, Steven Szu-Chi",FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,2019,,,,,10.1631/FITEE.1900399,,,,,,1632,,2095-9230,1643,12,"Chen, Szu-Chi/0000-0001-6019-7034; Duh, Henry/0000-0003-4808-6109",DEC,,,J,"Chen, Szu-Chi/HOC-2726-2023; Cui, Hui/I-8348-2018; Duh,",SI,2095-9184,,20.0,,True,,,董恒清,2026-05-25,initial
WOS:001462232200001,Uncovering new psychoactive substances research trends using large,"Kobayashi, Y","Kobayashi, Yoshiyuki",JOURNAL OF HAZARDOUS MATERIALS ADVANCES,2025,,,,,10.1016/j.hazadv.2025.100700,,,,,100700,,APR 2025,,,,"Kobayashi, Yoshiyuki/0000-0003-1753-2970",MAY,,,J,"Kobayashi, Yoshiyuki/AAO-7302-2020",,2772-4166,,18.0,,True,,,董恒清,2026-05-25,initial
WOS:000919191100001,Intelligent generation of Peking opera facial masks with deep learning,"Yan, M","Yan, Ming",HERITAGE SCIENCE,2023,,,,,10.1186/s40494-023-00865-z,,,,,20,,,,,1,"Yan, Ming/0000-0001-8979-8490",JAN 30,,,J,"Yan, Ming/AAE-8912-2021",,2050-7445,,11.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001645954000001,The Impacts of Large Language Model Addiction on University Students',"Elshaer, IA","Elshaer, Ibrahim A.",ALGORITHMS,2025,,,,,10.3390/a18120789,,,,,789,,,1999-4893,,12,"Elshaer, Ibrahim Abdelhamed/0000-0002-7800-0428;",DEC 12,,,J,"Elshaer, Ibrahim Abdelhamed/AAV-8089-2020; Azzaz, Alaa/HHY-8468-2022",,,,18.0,,True,,,董恒清,2026-05-25,initial
WOS:000880072700003,Design of 3D Display System for Intangible Cultural Heritage Based on,"Wang, JC","Wang, Jiachun",SCIENTIFIC PROGRAMMING,2022,,,,,10.1155/2022/2944750,,,,,2944750,,,1875-919X,,,,JUL 21,,,J,,,1058-9244,,2022.0,,True,,,董恒清,2026-05-25,initial
WOS:001598633000001,Generative AI and L2 Written Feedback Studies: A Scoping Review,"Crosthwaite, P","Crosthwaite, Peter",RELC JOURNAL,2026,,,,,10.1177/00336882251386530,,,,,,207,OCT 2025,1745-526X,219,1,"Sun, Shuyi/0000-0002-7424-0002;",APR,,,J,"Sun, Shuyi/AAO-8403-2020; Crosthwaite, Peter/G-7821-2016",SI,0033-6882,,57.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001493492500001,Generative AI for Supporting Cultural Learning and Reflection: A Study,"Iddamalgoda, C","Iddamalgoda, Chinthanika",INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,2026,,,,,10.1080/10447318.2025.2505777,,,,,,197,MAY 2025,1532-7590,210,1,"Koleva, Boriana/0000-0003-4605-4242; Iddamalgoda, Chinthanika Nelummali",JAN 2,,,J,"; Ng, Kher Hui/OOL-7243-2025",,1044-7318,,42.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001504251800001,The use of generative artificial intelligence in K-12 education: An,"Nadelson, LS","Nadelson, Louis S.",JOURNAL OF EDUCATIONAL RESEARCH,2025,,,,,10.1080/00220671.2025.2514913,,,,,,531,MAY 2025,1940-0675,534,6,,NOV 2,,,J,"Nadelson, Louis/NKP-2619-2025",SI,0022-0671,,118.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001453775200001,Ethical AI in Social Sciences Research: Are We Gatekeepers or,"Runcan, R","Runcan, Remus",SOCIETIES,2025,,,,,10.3390/soc15030062,,,,,62,,,2075-4698,,3,"Cuc, Lavinia Denisia/0000-0002-6416-259X; Gabriel,",MAR 6,,,J,"Cuc, Lavinia Denisia/AAI-6979-2021; Gabriel, Croitoru/AAY-5062-2021;",,,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001491612900001,CorpusChat: integrating corpus linguistics and generative AI for,"Cheung, L","Cheung, Lisa",COMPUTER ASSISTED LANGUAGE LEARNING,2025,,,,,10.1080/09588221.2025.2506480,,,,,,,MAY 2025,1744-3210,,,,2025 MAY 14,,,J,"Crosthwaite, Peter/G-7821-2016",,0958-8221,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001434934100003,Machine-assisted quantitizing designs: augmenting humanities and social,"Karjus, A","Karjus, Andres",HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,2025,,,,,10.1057/s41599-025-04503-w,,,,,277,,,2662-9992,,1,"Karjus, Anes/0000-0002-2445-5072",FEB 28,,,J,"Karjus, Anes/HSE-9125-2023",,,,12.0,,True,,,董恒清,2026-05-25,initial
WOS:001606019600014,Large Language Model Symptom Identification From Clinical Text:,"McMurry, AJ","McMurry, Andrew J.",JOURNAL OF MEDICAL INTERNET RESEARCH,2025,,,,,10.2196/72984,,,,,e72984,,,1438-8871,,,"Terry, Michael/0009-0001-2219-3208; Dixon, Brian/0000-0002-1121-0607;",JUL 31,40743494.0,,J,"; Dixon, Brian/A-9494-2013",,1439-4456,,27.0,,True,,,董恒清,2026-05-25,initial
WOS:001419456700001,Constructing a Sustainable Evaluation Framework for AIGC Technology in,"Pan, SM","Pan, Shimin",SUSTAINABILITY,2025,,,,,10.3390/su17030910,,,,,910,,,2071-1050,,3,", PAN SHIMIN/0009-0000-3595-9279; Anwar, Rusmadiah/0000-0001-6803-6972;",FEB,,,J,"; Anwar, Rusmadiah/T-4340-2017; Awang, Nuratiqah Aisyah/IQV-4936-2023",,,,17.0,,True,,,董恒清,2026-05-25,initial
WOS:001453510800001,Text Mining Approaches for Exploring Research Trends in the Security,"Kim, J","Kim, Jinsick",APPLIED SCIENCES-BASEL,2025,,,,,10.3390/app15063355,,,,,3355,,,2076-3417,,6,"Jinsick, Kim/0009-0009-0635-0961; Jang, Kuk Jin/0009-0003-8676-7922;",MAR 19,,,J,,,,,15.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001274805000001,Generative Artificial Intelligence in Educational Game Design: Nuanced,"Moon, J","Moon, Jewoong",TECHNOLOGY KNOWLEDGE AND LEARNING,2025,,,,,10.1007/s10758-024-09756-z,,,,,,447,JUL 2024,2211-1670,459,1,"Moon, Jewoong/0000-0001-6311-3019;",MAR,,,J,"Moon, Jewoong/AFN-2663-2022; LEE, UNGGI/KVY-9008-2024; Lim,",,2211-1662,,30.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:000923116500002,Automatic generation of Labanotation based on human pose estimation in,"Cai, XQ","Cai, Xingquan",NEURAL COMPUTING & APPLICATIONS,2023,,,,,10.1007/s00521-023-08206-8,,,,,,24755,JAN 2023,1433-3058,24771,35,,DEC,,,J,"Lu, Rui/KCJ-8212-2024",SI,0941-0643,,35.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001420042200010,GPT is an effective tool for multilingual psychological text analysis,"Rathje, S","Rathje, Steve",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF,2024,,,,,10.1073/pnas.2308950121,,,,,e2308950121,,,1091-6490,,34,"Rathje, Steve/0000-0001-6727-571X; Mirea,",AUG 20,39133853.0,,J,"; Mirea, Dan-Mircea/JJF-4236-2023; Marjieh, Raja/PQV-1637-2026;",,0027-8424,,121.0,,True,,,董恒清,2026-05-25,initial
WOS:001432422000001,Expert-level policy style measurement via knowledge distillation with,"Zhang, YJ","Zhang, Yujie",INFORMATION PROCESSING & MANAGEMENT,2025,,,,,10.1016/j.ipm.2025.104090,,,,,104090,,FEB 2025,1873-5371,,4,"Huang, Biao/0000-0002-7315-8779; Zhang, Yujie/0000-0003-1245-0052",JUL,,,J,"Huang, Biao/HGA-7110-2022",,0306-4573,,62.0,,True,,,董恒清,2026-05-25,initial
WOS:001651580200013,Beyond tool use: Tracking the evolution of generative AI literacy among,"Yan, WX","Yan, Wanxin",COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,2025,,,,,10.1016/j.caeai.2025.100465,,,,,100465,,SEP 2025,,,,,DEC,,,J,,,2666-920X,,9.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001372815900001,Preserving linguistic and cultural heritage of the Tuvan ethnos in the,"Novikova, ML","Novikova, Marina L.",NOVYE ISSLEDOVANIYA TUVY-NEW RESEARCH OF TUVA,2024,,,,,10.25178/nit.2024.4.12,,,,,,173,,2079-8482,187,4,"Novikov, Fılıpp/0000-0003-4884-3659",,,,J,"Novikova, Marina/A-6146-2017",,,,,,True,,,董恒清,2026-05-25,initial
